List of all the Station (Stop) IDs existing on the iRail API and the "irail_stations.json" file.
These stations are available on the Online Getter used by the iRail API example,
unless a Stop/Station is closed after building these files.
Last update: Sat, 20 Apr 2019 17:57:21 (UTC)

 iRail Station ID | PyBuses Stop ID
------------------|----------------
BE.NMBS.007015400 | 7015400
BE.NMBS.007015440 | 7015440
BE.NMBS.008008094 | 8008094
BE.NMBS.008010053 | 8010053
BE.NMBS.008010184 | 8010184
BE.NMBS.008010316 | 8010316
BE.NMBS.008011068 | 8011068
BE.NMBS.008011090 | 8011090
BE.NMBS.008015345 | 8015345
BE.NMBS.008015458 | 8015458
BE.NMBS.008015588 | 8015588
BE.NMBS.008032572 | 8032572
BE.NMBS.008039904 | 8039904
BE.NMBS.008200100 | 8200100
BE.NMBS.008200101 | 8200101
BE.NMBS.008200102 | 8200102
BE.NMBS.008200110 | 8200110
BE.NMBS.008200120 | 8200120
BE.NMBS.008200128 | 8200128
BE.NMBS.008200130 | 8200130
BE.NMBS.008200132 | 8200132
BE.NMBS.008200133 | 8200133
BE.NMBS.008200134 | 8200134
BE.NMBS.008200136 | 8200136
BE.NMBS.008200510 | 8200510
BE.NMBS.008200516 | 8200516
BE.NMBS.008200518 | 8200518
BE.NMBS.008200520 | 8200520
BE.NMBS.008200940 | 8200940
BE.NMBS.008210014 | 8210014
BE.NMBS.008400058 | 8400058
BE.NMBS.008400131 | 8400131
BE.NMBS.008400180 | 8400180
BE.NMBS.008400219 | 8400219
BE.NMBS.008400280 | 8400280
BE.NMBS.008400424 | 8400424
BE.NMBS.008400426 | 8400426
BE.NMBS.008400526 | 8400526
BE.NMBS.008400530 | 8400530
BE.NMBS.008400561 | 8400561
BE.NMBS.008500010 | 8500010
BE.NMBS.008711184 | 8711184
BE.NMBS.008718201 | 8718201
BE.NMBS.008718206 | 8718206
BE.NMBS.008718213 | 8718213
BE.NMBS.008719100 | 8719100
BE.NMBS.008719203 | 8719203
BE.NMBS.008721202 | 8721202
BE.NMBS.008721222 | 8721222
BE.NMBS.008721405 | 8721405
BE.NMBS.008722326 | 8722326
BE.NMBS.008727100 | 8727100
BE.NMBS.008727149 | 8727149
BE.NMBS.008728105 | 8728105
BE.NMBS.008728600 | 8728600
BE.NMBS.008728606 | 8728606
BE.NMBS.008728654 | 8728654
BE.NMBS.008728671 | 8728671
BE.NMBS.008728673 | 8728673
BE.NMBS.008728683 | 8728683
BE.NMBS.008728685 | 8728685
BE.NMBS.008728686 | 8728686
BE.NMBS.008728687 | 8728687
BE.NMBS.008728710 | 8728710
BE.NMBS.008731388 | 8731388
BE.NMBS.008731896 | 8731896
BE.NMBS.008731901 | 8731901
BE.NMBS.008772202 | 8772202
BE.NMBS.008772319 | 8772319
BE.NMBS.008774100 | 8774100
BE.NMBS.008774164 | 8774164
BE.NMBS.008774172 | 8774172
BE.NMBS.008774176 | 8774176
BE.NMBS.008774177 | 8774177
BE.NMBS.008774179 | 8774179
BE.NMBS.008775100 | 8775100
BE.NMBS.008775500 | 8775500
BE.NMBS.008775544 | 8775544
BE.NMBS.008775605 | 8775605
